Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
5,41,29,42,14,18,1,87
49,10,60,74,96,29,35,95
48,19,44,18,100,97,40,65
33,96,64,49,83,38,82,69
0,67,27,34,4,54,67,53
90,57,60,19,40,53,67,98
16,40,22,86,59,58,78,57
13,40,34,1,27,7,65,87
12,84,17,75,45,2,13,18
97,18,99,35,33,65,51,92
72,82,43,82,77,54,97,93
40,0,41,0,45,8,24,97
42,57,7,2,24,21,27,100
3,19,11,11,40,91,61,1
86,44,20,15,74,6,59,21
53,78,60,93,21,9,97,92
41,97,19,72,38,86,69,47
81,13,51,22,82,89,15,18
72,91,48,11,68,3,50,44
97,8,81,10,29,30,20,97
4,68,9,81,16,70,61,41
10,79,84,71,62,52,7,23
9,52,86,47,100,2,25,42
76,5,44,73,56,75,61,2
19,77,15,36,59,100,60,73
87,39,17,100,87,31,81,55
37,68,83,65,2,70,51,81
14,18,70,23,100,31,56,42
23,82,44,29,39,71,48,10
0,88,87,28,11,32,27,71
24,2,53,97,55,75,48,80
61,65,5,77,64,21,20,51
51,49,72,14,54,29,93,18
54,71,80,83,29,4,45,57
62,99,58,75,67,85,26,86
39,98,13,95,95,96,4,1
82,3,28,96,94,63,56,28
97,53,47,70,16,7,45,15
50,74,25,32,40,78,54,45
0,96,0,74,43,41,86,83
37,91,94,3,14,68,19,49
15,15,12,56,14,78,68,72
76,79,63,85,48,67,95,99
32,35,58,75,33,53,48,56
42,53,96,54,56,92,99,13
82,89,4,1,11,50,96,1
79,45,28,24,39,20,26,73
31,87,47,39,18,19,92,58
17,73,58,43,10,18,40,61
22,87,66,93,15,84,37,35
